File_Path,Latitude,Longitude
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10000.png,38.864307,-104.907417
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10065.png,42.3289,-83.0397
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10066.png,37.81806,-122.47837
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10067.png,26.4976,-82.0784
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10068.png,33.890781,-84.468239
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10069.png,26.074215,-80.150726
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10070.png,33.755489,-84.401993
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10071.png,44.661143,-84.131697
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10072.png,36.964287,-122.018822
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10073.png,36.486366,-118.565750 
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10074.png,34.102661,-118.340500
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10075.png,34.24979322290821,-118.25314002523037
C:\Users\ellef\OneDrive\Documents\Capstone Project\big-house.jpg,42.26605277777778,-83.74885555555555
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10077.png,12.5666666667,-70.0333333333
C:\Users\ellef\OneDrive\Documents\Capstone Project\IMG_0828.jpeg,42.3393, -83.0489
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10079.png,37.084229,-94.513283
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10080.png,64.835365,-147.776749
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10081.png,39.47066,75.98951
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10082.png,35.835575,-90.705025
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10083.png,53.631611,-113.323975
C:\Users\ellef\OneDrive\Documents\Capstone Project\IMG_0709.jpeg,43.4355,-83.9362
C:\Users\ellef\OneDrive\Documents\Capstone Project\yellowstone.jpg,44.720847222222226, -110.48860833333333
C:\Users\ellef\OneDrive\Documents\Capstone Project\mammoth_cave.jpg,37.181531, -86.15052730000001
C:\Users\ellef\OneDrive\Documents\Capstone Project\mtrushmore.webp,43.879102499999995, -103.4590667
C:\Users\ellef\OneDrive\Documents\Capstone Project\ark.jpg,59.439503099999996, -112.87640209999999
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10089.png,30.473120, 91.101166
C:\Users\ellef\OneDrive\Documents\Capstone Project\10090.jpg,32.791333333333334, -96.81266666666667
C:\Users\ellef\OneDrive\Documents\Capstone Project\10091.jpg,29.956736799999998, -90.0663924
C:\Users\ellef\OneDrive\Documents\Capstone Project\10092.jpg,43.602402777777776, -116.21430000000001
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10093.png,51.16689,71.42115
C:\Users\ellef\OneDrive\Documents\Capstone Project\10094.jpg,46.8788566, -96.78787990000001
C:\Users\ellef\OneDrive\Documents\Capstone Project\10095.jpg,35.13925701659809, -90.04566376639394
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10096.png,43.825592, 87.616852 
C:\Users\ellef\OneDrive\Documents\Capstone Project\10097.jpg,33.207467699999995, -87.544411
C:\Users\ellef\OneDrive\Documents\Capstone Project\10098.jpg,34.36444000000001, -89.52542
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10099.png,31.456781, 102.843018
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10100.png,45.750000, 126.633331
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10101.png, 36.62554, 101.75739
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10102.png,37.934246, 102.638931
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10103.png,49.8333333333, 73.1666666667
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10104.png,55.05546690, 73.31673420
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10105.png,41.723091, 86.175682
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10106.png,40.16667, 94.68333
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10107.png,42.94769, 89.17886
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10108.png,39.471184, 75.995865
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10109.png,36.054871, 103.828812
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10110.png,36.406086, 94.910286
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10111.png,41.799999, 123.400002
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10112.png,41.176327, 80.275902
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10113.png,29.266870, 88.880585
C:\Users\pep02\OneDrive\Documents\OU\Winter 25\AI-Image-Detection-main\Datasets\dataset\10114.png,40.846333, 111.733017
C:\Users\ellef\OneDrive\Documents\Capstone Project\10115.jpg,21.040807, 16.4733
C:\Users\ellef\OneDrive\Documents\Capstone Project\10116.jpg,15.5974, 32.5356
11000,43.66494934,-79.41186723
11001,43.674625,-79.43149444
11002,43.66402778,-79.41651111
11003,43.67382794,-79.43799328
11004,43.665574,-79.409098
11005,43.66351667,-79.41834167
11006,43.66310278,-79.42021111
11007,43.67124167,-79.47350278
11008,43.66287222,-79.42188889
11009,43.66923889,-79.44746389
11010,43.67512187,-79.45623232
11011,43.6629806,-79.4260078
11012,43.66198889,-79.42588611
11013,43.65959722,-79.43655278
11014,43.66565278,-79.45130833
11015,43.65133611,-79.41108611
11016,43.66047376,-79.43556956
11017,43.65285278,-79.43128889
11018,43.6530468,-79.4293573
11019,43.64939175,-79.4211285
11020,43.66758682,-79.4605123
11021,43.66428333,-79.45745833
11022,43.649425,-79.42346111
11023,43.64015354,-79.47760839
11024,43.66484444,-79.45956389
11025,43.64691389,-79.40985833
11026,43.66008889,-79.45377222
11027,43.65218333,-79.4344
11028,43.65010155,-79.43976563
11029,43.64957315,-79.42910395
11030,43.65963449,-79.49951283
11031,43.6399761,-79.408499
11032,43.66253611,-79.47086944
11033,43.66203611,-79.51782222
11034,43.64417876,-79.41813562
11035,43.64386111,-79.42056944
11036,43.64389722,-79.42828333
11037,43.64422222,-79.42945833
11038,43.65384,-79.46551778
11039,43.67360101,-79.48180949
11040,43.65258611,-79.47043333
11041,43.64212381,-79.44754898
11042,43.6525285,-79.44405259
11043,43.64276667,-79.42614722
11044,43.66135278,-79.47460833
11045,43.65995694,-79.49274336
11046,43.66371368,-79.49429769
11047,43.67310437,-79.50430775
11048,43.63963611,-79.44120556
11049,43.65613641,-79.49290155
11050,43.7758718,-79.34751695
